date,market_id,grade,price,price_log,price_detrended,price_diff,price_standardized
2019-04-01,101,low1,9750,9.185022563991893,9.185022563991893,,
2019-04-01,101,low2,9750,9.185022563991893,9.185022563991893,,
2019-04-01,101,med1,10000,9.210340371976184,9.210340371976184,,
2019-04-01,101,med2,10000,9.210340371976184,9.210340371976184,,
2019-04-01,102,low1,10000,9.210340371976184,9.210340371976184,,
2019-04-01,102,low2,10500,9.259130536145614,9.259130536145614,,
2019-04-01,102,med1,10750,9.28266103355581,9.28266103355581,,
2019-04-01,102,med2,10750,9.28266103355581,9.28266103355581,,
2019-04-01,103,low1,9450,9.153770020487789,9.153770020487789,,
2019-04-01,103,low2,9300,9.137769679141348,9.137769679141348,,
2019-04-01,103,med1,10300,9.239899174217728,9.239899174217728,,
2019-04-01,103,med2,9950,9.205327830152639,9.205327830152639,,
2019-04-01,104,low1,9300,9.137769679141348,9.137769679141348,,
2019-04-01,104,low2,9300,9.137769679141348,9.137769679141348,,
2019-04-01,104,med1,10550,9.263881138904212,9.263881138904212,,
2019-04-01,104,med2,10150,9.225228984469933,9.225228984469933,,
2019-04-01,105,low1,9800,9.190137664658664,9.190137664658664,,
2019-04-01,105,low2,9000,9.104979856318357,9.104979856318357,,
2019-04-01,105,med1,11500,9.350102314351341,9.350102314351341,,
2019-04-01,105,med2,11000,9.305650551780507,9.305650551780507,,
2019-04-01,106,low1,9500,9.159047077588632,9.159047077588632,,
2019-04-01,106,low2,9250,9.132378830506472,9.132378830506472,,
2019-04-01,106,med1,11000,9.305650551780507,9.305650551780507,,
2019-04-01,106,med2,10000,9.210340371976184,9.210340371976184,,
2019-04-02,101,low1,9750,9.185022563991893,9.185022563991893,0.0,-0.03600645519207063
2019-04-02,101,low2,9750,9.185022563991893,9.185022563991893,0.0,-0.03707954909870042
2019-04-02,101,med1,10000,9.210340371976184,9.210340371976184,0.0,-0.040746078598962676
2019-04-02,101,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.0471723646392856
2019-04-02,102,low1,10000,9.210340371976184,9.210340371976184,0.0,-0.03927709356524797
2019-04-02,102,low2,10250,9.235032984566555,9.235032984566555,-0.02409755157905913,-5.319723384507416
2019-04-02,102,med1,10750,9.28266103355581,9.28266103355581,0.0,-0.05975063318383464
2019-04-02,102,med2,10750,9.28266103355581,9.28266103355581,0.0,-0.052974151906747396
2019-04-02,103,low1,9450,9.153770020487789,9.153770020487789,0.0,-0.05659820950371767
2019-04-02,103,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.05804731720435371
2019-04-02,103,med1,10300,9.239899174217728,9.239899174217728,0.0,-0.05828540424941507
2019-04-02,103,med2,9950,9.205327830152639,9.205327830152639,0.0,-0.05188528380423249
2019-04-02,104,low1,9300,9.137769679141348,9.137769679141348,0.0,-0.04238291402943764
2019-04-02,104,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.050335133159254884
2019-04-02,104,med1,10550,9.263881138904212,9.263881138904212,0.0,-0.050208784162481236
2019-04-02,104,med2,10150,9.225228984469933,9.225228984469933,0.0,-0.04985045137803932
2019-04-02,105,low1,9800,9.190137664658664,9.190137664658664,0.0,-0.010538456176155522
2019-04-02,105,low2,9000,9.104979856318357,9.104979856318357,0.0,-0.02139257604545985
2019-04-02,105,med1,11500,9.350102314351341,9.350102314351341,0.0,-0.05360668352007279
2019-04-02,105,med2,11000,9.305650551780507,9.305650551780507,0.0,-0.059584947857873154
2019-04-02,106,low1,9500,9.159047077588632,9.159047077588632,0.0,-0.012585115218624304
2019-04-02,106,low2,9250,9.132378830506472,9.132378830506472,0.0,-0.016726704912057102
2019-04-02,106,med1,11000,9.305650551780507,9.305650551780507,0.0,-0.0525843725488721
2019-04-02,106,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.06475209118478126
2019-04-04,101,low1,9750,9.185022563991893,9.185022563991893,0.0,-0.03600645519207063
2019-04-04,101,low2,9750,9.185022563991893,9.185022563991893,0.0,-0.03707954909870042
2019-04-04,101,med1,10000,9.210340371976184,9.210340371976184,0.0,-0.040746078598962676
2019-04-04,101,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.0471723646392856
2019-04-04,102,low1,10500,9.259130536145614,9.259130536145614,0.04879016416943038,8.769718200592534
2019-04-04,102,low2,10250,9.235032984566555,9.235032984566555,0.0,-0.04270287320246725
2019-04-04,102,med1,10750,9.28266103355581,9.28266103355581,0.0,-0.05975063318383464
2019-04-04,102,med2,10750,9.28266103355581,9.28266103355581,0.0,-0.052974151906747396
2019-04-04,103,low1,9450,9.153770020487789,9.153770020487789,0.0,-0.05659820950371767
2019-04-04,103,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.05804731720435371
2019-04-04,103,med1,10300,9.239899174217728,9.239899174217728,0.0,-0.05828540424941507
2019-04-04,103,med2,9950,9.205327830152639,9.205327830152639,0.0,-0.05188528380423249
2019-04-04,104,low1,9300,9.137769679141348,9.137769679141348,0.0,-0.04238291402943764
2019-04-04,104,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.050335133159254884
2019-04-04,104,med1,10550,9.263881138904212,9.263881138904212,0.0,-0.050208784162481236
2019-04-04,104,med2,10150,9.225228984469933,9.225228984469933,0.0,-0.04985045137803932
2019-04-04,105,low1,9800,9.190137664658664,9.190137664658664,0.0,-0.010538456176155522
2019-04-04,105,low2,9000,9.104979856318357,9.104979856318357,0.0,-0.02139257604545985
2019-04-04,105,med1,11500,9.350102314351341,9.350102314351341,0.0,-0.05360668352007279
2019-04-04,105,med2,11000,9.305650551780507,9.305650551780507,0.0,-0.059584947857873154
2019-04-04,106,low1,9500,9.159047077588632,9.159047077588632,0.0,-0.012585115218624304
2019-04-04,106,low2,9250,9.132378830506472,9.132378830506472,0.0,-0.016726704912057102
2019-04-04,106,med1,11000,9.305650551780507,9.305650551780507,0.0,-0.0525843725488721
2019-04-04,106,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.06475209118478126
2019-04-05,101,low1,9750,9.185022563991893,9.185022563991893,0.0,-0.03600645519207063
2019-04-05,101,low2,9750,9.185022563991893,9.185022563991893,0.0,-0.03707954909870042
2019-04-05,101,med1,10000,9.210340371976184,9.210340371976184,0.0,-0.040746078598962676
2019-04-05,101,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.0471723646392856
2019-04-05,102,low1,10500,9.259130536145614,9.259130536145614,0.0,-0.03927709356524797
2019-04-05,102,low2,10250,9.235032984566555,9.235032984566555,0.0,-0.04270287320246725
2019-04-05,102,med1,10750,9.28266103355581,9.28266103355581,0.0,-0.05975063318383464
2019-04-05,102,med2,10750,9.28266103355581,9.28266103355581,0.0,-0.052974151906747396
2019-04-05,103,low1,9450,9.153770020487789,9.153770020487789,0.0,-0.05659820950371767
2019-04-05,103,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.05804731720435371
2019-04-05,103,med1,10150,9.225228984469933,9.225228984469933,-0.014670189747794993,-3.5763386611511807
2019-04-05,103,med2,9950,9.205327830152639,9.205327830152639,0.0,-0.05188528380423249
2019-04-05,104,low1,9300,9.137769679141348,9.137769679141348,0.0,-0.04238291402943764
2019-04-05,104,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.050335133159254884
2019-04-05,104,med1,10550,9.263881138904212,9.263881138904212,0.0,-0.050208784162481236
2019-04-05,104,med2,10150,9.225228984469933,9.225228984469933,0.0,-0.04985045137803932
2019-04-05,105,low1,9800,9.190137664658664,9.190137664658664,0.0,-0.010538456176155522
2019-04-05,105,low2,9000,9.104979856318357,9.104979856318357,0.0,-0.02139257604545985
2019-04-05,105,med1,11500,9.350102314351341,9.350102314351341,0.0,-0.05360668352007279
2019-04-05,105,med2,11000,9.305650551780507,9.305650551780507,0.0,-0.059584947857873154
2019-04-05,106,low1,9500,9.159047077588632,9.159047077588632,0.0,-0.012585115218624304
2019-04-05,106,low2,9250,9.132378830506472,9.132378830506472,0.0,-0.016726704912057102
2019-04-05,106,med1,11000,9.305650551780507,9.305650551780507,0.0,-0.0525843725488721
2019-04-05,106,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.06475209118478126
2019-04-08,101,low1,9750,9.185022563991893,9.185022563991893,0.0,-0.03600645519207063
2019-04-08,101,low2,9750,9.185022563991893,9.185022563991893,0.0,-0.03707954909870042
2019-04-08,101,med1,10000,9.210340371976184,9.210340371976184,0.0,-0.040746078598962676
2019-04-08,101,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.0471723646392856
2019-04-08,102,low1,10500,9.259130536145614,9.259130536145614,0.0,-0.03927709356524797
2019-04-08,102,low2,10250,9.235032984566555,9.235032984566555,0.0,-0.04270287320246725
2019-04-08,102,med1,10750,9.28266103355581,9.28266103355581,0.0,-0.05975063318383464
2019-04-08,102,med2,10750,9.28266103355581,9.28266103355581,0.0,-0.052974151906747396
2019-04-08,103,low1,9450,9.153770020487789,9.153770020487789,0.0,-0.05659820950371767
2019-04-08,103,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.05804731720435371
2019-04-08,103,med1,10150,9.225228984469933,9.225228984469933,0.0,-0.05828540424941507
2019-04-08,103,med2,9950,9.205327830152639,9.205327830152639,0.0,-0.05188528380423249
2019-04-08,104,low1,9150,9.121509158269568,9.121509158269568,-0.016260520871780315,-2.652318124470408
2019-04-08,104,low2,9150,9.121509158269568,9.121509158269568,-0.016260520871780315,-3.1499671278665637
2019-04-08,104,med1,10450,9.254357257392957,9.254357257392957,-0.009523881511254828,-2.138272330051762
2019-04-08,104,med2,10000,9.210340371976184,9.210340371976184,-0.014888612493749065,-3.1637449978483057
2019-04-08,105,low1,9800,9.190137664658664,9.190137664658664,0.0,-0.010538456176155522
2019-04-08,105,low2,9000,9.104979856318357,9.104979856318357,0.0,-0.02139257604545985
2019-04-08,105,med1,11500,9.350102314351341,9.350102314351341,0.0,-0.05360668352007279
2019-04-08,105,med2,11000,9.305650551780507,9.305650551780507,0.0,-0.059584947857873154
2019-04-08,106,low1,9500,9.159047077588632,9.159047077588632,0.0,-0.012585115218624304
2019-04-08,106,low2,9250,9.132378830506472,9.132378830506472,0.0,-0.016726704912057102
2019-04-08,106,med1,11000,9.305650551780507,9.305650551780507,0.0,-0.0525843725488721
2019-04-08,106,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.06475209118478126
2019-04-09,101,low1,9750,9.185022563991893,9.185022563991893,0.0,-0.03600645519207063
2019-04-09,101,low2,9750,9.185022563991893,9.185022563991893,0.0,-0.03707954909870042
2019-04-09,101,med1,10000,9.210340371976184,9.210340371976184,0.0,-0.040746078598962676
2019-04-09,101,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.0471723646392856
2019-04-09,102,low1,10500,9.259130536145614,9.259130536145614,0.0,-0.03927709356524797
2019-04-09,102,low2,10250,9.235032984566555,9.235032984566555,0.0,-0.04270287320246725
2019-04-09,102,med1,10750,9.28266103355581,9.28266103355581,0.0,-0.05975063318383464
2019-04-09,102,med2,10750,9.28266103355581,9.28266103355581,0.0,-0.052974151906747396
2019-04-09,103,low1,9450,9.153770020487789,9.153770020487789,0.0,-0.05659820950371767
2019-04-09,103,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.05804731720435371
2019-04-09,103,med1,10150,9.225228984469933,9.225228984469933,0.0,-0.05828540424941507
2019-04-09,103,med2,9950,9.205327830152639,9.205327830152639,0.0,-0.05188528380423249
2019-04-09,104,low1,9150,9.121509158269568,9.121509158269568,0.0,-0.04238291402943764
2019-04-09,104,low2,9150,9.121509158269568,9.121509158269568,0.0,-0.050335133159254884
2019-04-09,104,med1,10450,9.254357257392957,9.254357257392957,0.0,-0.050208784162481236
2019-04-09,104,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.04985045137803932
2019-04-09,105,low1,9800,9.190137664658664,9.190137664658664,0.0,-0.010538456176155522
2019-04-09,105,low2,9000,9.104979856318357,9.104979856318357,0.0,-0.02139257604545985
2019-04-09,105,med1,11500,9.350102314351341,9.350102314351341,0.0,-0.05360668352007279
2019-04-09,105,med2,11000,9.305650551780507,9.305650551780507,0.0,-0.059584947857873154
2019-04-09,106,low1,9500,9.159047077588632,9.159047077588632,0.0,-0.012585115218624304
2019-04-09,106,low2,9250,9.132378830506472,9.132378830506472,0.0,-0.016726704912057102
2019-04-09,106,med1,11000,9.305650551780507,9.305650551780507,0.0,-0.0525843725488721
2019-04-09,106,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.06475209118478126
2019-04-10,101,low1,9750,9.185022563991893,9.185022563991893,0.0,-0.03600645519207063
2019-04-10,101,low2,9750,9.185022563991893,9.185022563991893,0.0,-0.03707954909870042
2019-04-10,101,med1,10000,9.210340371976184,9.210340371976184,0.0,-0.040746078598962676
2019-04-10,101,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.0471723646392856
2019-04-10,102,low1,10500,9.259130536145614,9.259130536145614,0.0,-0.03927709356524797
2019-04-10,102,low2,10250,9.235032984566555,9.235032984566555,0.0,-0.04270287320246725
2019-04-10,102,med1,10750,9.28266103355581,9.28266103355581,0.0,-0.05975063318383464
2019-04-10,102,med2,10750,9.28266103355581,9.28266103355581,0.0,-0.052974151906747396
2019-04-10,103,low1,9450,9.153770020487789,9.153770020487789,0.0,-0.05659820950371767
2019-04-10,103,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.05804731720435371
2019-04-10,103,med1,10150,9.225228984469933,9.225228984469933,0.0,-0.05828540424941507
2019-04-10,103,med2,9950,9.205327830152639,9.205327830152639,0.0,-0.05188528380423249
2019-04-10,104,low1,9150,9.121509158269568,9.121509158269568,0.0,-0.04238291402943764
2019-04-10,104,low2,9150,9.121509158269568,9.121509158269568,0.0,-0.050335133159254884
2019-04-10,104,med1,10450,9.254357257392957,9.254357257392957,0.0,-0.050208784162481236
2019-04-10,104,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.04985045137803932
2019-04-10,105,low1,9800,9.190137664658664,9.190137664658664,0.0,-0.010538456176155522
2019-04-10,105,low2,9000,9.104979856318357,9.104979856318357,0.0,-0.02139257604545985
2019-04-10,105,med1,11500,9.350102314351341,9.350102314351341,0.0,-0.05360668352007279
2019-04-10,105,med2,11000,9.305650551780507,9.305650551780507,0.0,-0.059584947857873154
2019-04-10,106,low1,9500,9.159047077588632,9.159047077588632,0.0,-0.012585115218624304
2019-04-10,106,low2,9250,9.132378830506472,9.132378830506472,0.0,-0.016726704912057102
2019-04-10,106,med1,11000,9.305650551780507,9.305650551780507,0.0,-0.0525843725488721
2019-04-10,106,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.06475209118478126
2019-04-11,101,low1,9750,9.185022563991893,9.185022563991893,0.0,-0.03600645519207063
2019-04-11,101,low2,9750,9.185022563991893,9.185022563991893,0.0,-0.03707954909870042
2019-04-11,101,med1,10000,9.210340371976184,9.210340371976184,0.0,-0.040746078598962676
2019-04-11,101,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.0471723646392856
2019-04-11,102,low1,10500,9.259130536145614,9.259130536145614,0.0,-0.03927709356524797
2019-04-11,102,low2,10250,9.235032984566555,9.235032984566555,0.0,-0.04270287320246725
2019-04-11,102,med1,10750,9.28266103355581,9.28266103355581,0.0,-0.05975063318383464
2019-04-11,102,med2,10750,9.28266103355581,9.28266103355581,0.0,-0.052974151906747396
2019-04-11,103,low1,9450,9.153770020487789,9.153770020487789,0.0,-0.05659820950371767
2019-04-11,103,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.05804731720435371
2019-04-11,103,med1,10150,9.225228984469933,9.225228984469933,0.0,-0.05828540424941507
2019-04-11,103,med2,9950,9.205327830152639,9.205327830152639,0.0,-0.05188528380423249
2019-04-11,104,low1,9150,9.121509158269568,9.121509158269568,0.0,-0.04238291402943764
2019-04-11,104,low2,9150,9.121509158269568,9.121509158269568,0.0,-0.050335133159254884
2019-04-11,104,med1,10450,9.254357257392957,9.254357257392957,0.0,-0.050208784162481236
2019-04-11,104,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.04985045137803932
2019-04-11,105,low1,9800,9.190137664658664,9.190137664658664,0.0,-0.010538456176155522
2019-04-11,105,low2,9000,9.104979856318357,9.104979856318357,0.0,-0.02139257604545985
2019-04-11,105,med1,11500,9.350102314351341,9.350102314351341,0.0,-0.05360668352007279
2019-04-11,105,med2,11000,9.305650551780507,9.305650551780507,0.0,-0.059584947857873154
2019-04-11,106,low1,9500,9.159047077588632,9.159047077588632,0.0,-0.012585115218624304
2019-04-11,106,low2,9250,9.132378830506472,9.132378830506472,0.0,-0.016726704912057102
2019-04-11,106,med1,11000,9.305650551780507,9.305650551780507,0.0,-0.0525843725488721
2019-04-11,106,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.06475209118478126
2019-04-12,101,low1,9750,9.185022563991893,9.185022563991893,0.0,-0.03600645519207063
2019-04-12,101,low2,9750,9.185022563991893,9.185022563991893,0.0,-0.03707954909870042
2019-04-12,101,med1,10000,9.210340371976184,9.210340371976184,0.0,-0.040746078598962676
2019-04-12,101,med2,10000,9.210340371976184,9.210340371976184,0.0,-0.0471723646392856
2019-04-12,102,low1,10500,9.259130536145614,9.259130536145614,0.0,-0.03927709356524797
2019-04-12,102,low2,10250,9.235032984566555,9.235032984566555,0.0,-0.04270287320246725
2019-04-12,102,med1,10750,9.28266103355581,9.28266103355581,0.0,-0.05975063318383464
2019-04-12,102,med2,10750,9.28266103355581,9.28266103355581,0.0,-0.052974151906747396
2019-04-12,103,low1,9450,9.153770020487789,9.153770020487789,0.0,-0.05659820950371767
2019-04-12,103,low2,9300,9.137769679141348,9.137769679141348,0.0,-0.05804731720435371
