source,target,grade_source,grade_target,source_node,target_node,granger_causes,lag,p_value,adjusted_p_value,test_statistic,n_observations,r2_restricted,r2_augmented
104,101,med1,low1,M104_med1,M101_low1,True,4,0.0009470611057275091,0.0026536940627491625,4.669643611825014,1704,0.005116718684295418,0.015960643393118423
104,101,med2,low1,M104_med2,M101_low1,False,4,0.05214124777917806,0.10316117840181466,2.351640778631406,1704,0.005116718684295418,0.010607446413119503
105,101,low1,low1,M105_low1,M101_low1,True,4,0.023235089949992016,0.048217179144344334,2.836733805465374,1704,0.005116718684295418,0.011732533975653214
105,101,low2,low1,M105_low2,M101_low1,False,4,0.03560068243400527,0.07251504318660852,2.582419489359255,1704,0.005116718684295418,0.011143016141065498
105,101,med1,low1,M105_med1,M101_low1,False,4,0.028798123023281108,0.05909503311840584,2.7092500620086146,1704,0.005116718684295418,0.011437105898792543
105,101,med2,low1,M105_med2,M101_low1,True,4,0.012515164325900163,0.027856333499584236,3.199903997692797,1704,0.005116718684295418,0.012573169568371734
106,101,low1,low1,M106_low1,M101_low1,False,4,0.9984321245777842,0.9999999999922596,0.028519470141010667,1704,0.005116718684295418,0.005183672394150185
106,101,low2,low1,M106_low2,M101_low1,False,4,0.9984902929560592,0.9999999999922596,0.027975306255106597,1704,0.005116718684295418,0.00518239497259898
106,101,med1,low1,M106_med1,M101_low1,True,4,1.4373766031861024e-06,6.297078452053401e-06,8.225826911731533,1704,0.005116718684295418,0.02406161596705647
106,101,med2,low1,M106_med2,M101_low1,False,4,0.3884268770397221,0.6101087719633695,1.0336677981331568,1704,0.005116718684295418,0.007537665836354512
101,101,low1,low2,M101_low1,M101_low2,False,4,0.7246885330577579,0.9709419180773845,0.5150576050709031,1704,0.018806691083851246,0.01999785935647469
101,101,med1,low2,M101_med1,M101_low2,False,4,0.07749515740154089,0.14649769481387181,2.10782192993637,1704,0.018806691083851246,0.023663196395101727
101,101,med2,low2,M101_med2,M101_low2,False,4,0.3887003974037887,0.6101087719633695,1.0331444693766638,1704,0.018806691083851246,0.021193119202985722
102,101,low1,low2,M102_low1,M101_low2,False,4,0.5649349536001782,0.8057986935072309,0.7396250823535915,1704,0.018806691083851246,0.02051630926773762
102,101,low2,low2,M102_low2,M101_low2,False,4,0.6202655589205939,0.8712126934457196,0.6593985709938923,1704,0.018806691083851246,0.020331156536187
102,101,med1,low2,M102_med1,M101_low2,False,4,0.26746957514661374,0.4515082736419902,1.3010078990294898,1704,0.018806691083851246,0.021809954743157833
102,101,med2,low2,M102_med2,M101_low2,False,4,0.5436753511655799,0.7809649885561597,0.7715388658356471,1704,0.018806691083851246,0.02058994282356086
103,101,low1,low2,M103_low1,M101_low2,False,4,0.281923648732492,0.4712952044274551,1.2643356064906583,1704,0.018806691083851246,0.021725551774850804
103,101,low2,low2,M103_low2,M101_low2,False,4,0.0662814542150234,0.12792784170172347,2.204568316358684,1704,0.018806691083851246,0.02388495022686188
103,101,med1,low2,M103_med1,M101_low2,False,4,0.30188337112841923,0.49595125256811734,1.216219830173993,1704,0.018806691083851246,0.021614789007528
103,101,med2,low2,M103_med2,M101_low2,False,4,0.2626397418954789,0.44471514578620963,1.3136386278991727,1704,0.018806691083851246,0.021839021574855177
104,101,low1,low2,M104_low1,M101_low2,False,4,0.9915232373165662,0.9999999999922596,0.06807472997425901,1704,0.018806691083851246,0.018964292832194696
